Nombre,Equipo,Posicion,Valor,Fecha_Nacimiento,Foto
Jesús Areso,Athletic,DEF,23,02/07/1999,https://media.futbolfantasy.com/thumb/400x400/v202602100140/uploads/images/jugadores/ficha/7638.png
Jon Moncayola,Osasuna,MED,37,13/05/1998,https://media.futbolfantasy.com/thumb/400x400/v202602171442/uploads/images/jugadores/ficha/7204.png
Pablo Ibáñez,Alavés,MED,24,20/09/1998,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/10258.png
Aitor Fernández,Osasuna,POR,17,03/05/1991,https://media.futbolfantasy.com/thumb/400x400/v202605120539/uploads/images/jugadores/ficha/829.png
Alejandro Catena,Osasuna,DEF,36,28/10/1994,https://media.futbolfantasy.com/thumb/400x400/v202601270343/uploads/images/jugadores/ficha/6493.png
Iker Muñoz,Osasuna,MED,17,05/09/2002,https://media.futbolfantasy.com/thumb/400x400/v202601270343/uploads/images/jugadores/ficha/11362.png
Sergio Herrera,Osasuna,POR,34,05/06/1993,https://media.futbolfantasy.com/thumb/400x400/v202603261710/uploads/images/jugadores/ficha/6611.png
Kike Barja,Osasuna,MED,17,01/04/1997,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/3206.png
Raúl García,Osasuna,DEL,31,03/11/2000,https://media.futbolfantasy.com/thumb/400x400/v202603131323/uploads/images/jugadores/ficha/7027.png
Ante Budimir,Osasuna,DEL,89,22/07/1991,https://media.futbolfantasy.com/thumb/400x400/v202607211338/uploads/images/jugadores/ficha/6635.png
Lucas Torró,Osasuna,MED,26,19/07/1994,https://media.futbolfantasy.com/thumb/400x400/v202607141339/uploads/images/jugadores/ficha/1928.png
Aimar Oroz,Osasuna,MED,33,27/11/2001,https://media.futbolfantasy.com/thumb/400x400/v202605101448/uploads/images/jugadores/ficha/7203.png
Jorge Herrando,Osasuna,DEF,19,28/02/2001,https://media.futbolfantasy.com/thumb/400x400/v202601270343/uploads/images/jugadores/ficha/7082.png
Álvaro García,Rayo,MED,32,27/10/1992,https://media.futbolfantasy.com/thumb/400x400/v202607201547/uploads/images/jugadores/ficha/867.png
Unai López,Rayo,MED,21,30/10/1995,https://media.futbolfantasy.com/thumb/400x400/v202604121805/uploads/images/jugadores/ficha/1881.png
Florian Lejeune,Rayo,DEF,51,20/05/1991,https://media.futbolfantasy.com/thumb/400x400/v202607201436/uploads/images/jugadores/ficha/863.png
Isi Palazón,Rayo,MED,31,27/12/1994,https://media.futbolfantasy.com/thumb/400x400/v202607060441/uploads/images/jugadores/ficha/6957.png
Óscar Valentín,Rayo,MED,27,20/08/1994,https://media.futbolfantasy.com/thumb/400x400/v202604121805/uploads/images/jugadores/ficha/6889.png
Raúl De Tomás,Rayo,DEL,23,17/10/1994,https://media.futbolfantasy.com/thumb/400x400/v202607082144/uploads/images/jugadores/ficha/1123.png
Stole Dimitrievski,Valencia,POR,31,25/12/1993,https://media.futbolfantasy.com/thumb/400x400/v202607141031/uploads/images/jugadores/ficha/989.png
Sergio Camello,Rayo,DEL,30,10/02/2001,https://media.futbolfantasy.com/thumb/400x400/v202604121805/uploads/images/jugadores/ficha/6562.png
Jorge de Frutos,Rayo,MED,68,20/02/1997,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/6633.png
Iván Balliu,Rayo,DEF,17,01/01/1992,https://media.futbolfantasy.com/thumb/400x400/v202604121805/uploads/images/jugadores/ficha/7251.png
Dani Cárdenas,Rayo,POR,17,28/03/1997,https://media.futbolfantasy.com/thumb/400x400/v202604121805/uploads/images/jugadores/ficha/7570.png
Pathé Ciss,Rayo,MED,36,16/03/1994,https://media.futbolfantasy.com/thumb/400x400/v202607081136/uploads/images/jugadores/ficha/7307.png
Randy Nteka,Rayo,DEL,16,06/12/1997,https://media.futbolfantasy.com/thumb/400x400/v202607060440/uploads/images/jugadores/ficha/6853.png
Andrei Ratiu,Rayo,DEF,54,20/06/1998,https://media.futbolfantasy.com/thumb/400x400/v202607201436/uploads/images/jugadores/ficha/6560.png
Pep Chavarría,Rayo,DEF,29,10/04/1998,https://media.futbolfantasy.com/thumb/400x400/v202607060442/uploads/images/jugadores/ficha/7992.png
Brahim Díaz,Real Madrid,MED,56,03/08/1999,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/5035.png
Eduardo Camavinga,Real Madrid,MED,54,10/11/2002,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/8479.png
Ferland Mendy,Real Madrid,DEF,20,08/06/1995,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/6158.png
Antonio Rüdiger,Real Madrid,DEF,40,03/03/1993,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/2536.png
Fran García,Betis,DEF,29,14/08/1999,https://media.futbolfantasy.com/thumb/400x400/v202607101421/uploads/images/jugadores/ficha/6392.png
Federico Valverde,Real Madrid,MED,125,22/07/1998,https://media.futbolfantasy.com/thumb/400x400/v202607221032/uploads/images/jugadores/ficha/3758.png
Andriy Lunin,Real Madrid,POR,33,11/02/1999,https://media.futbolfantasy.com/thumb/400x400/v202607211239/uploads/images/jugadores/ficha/5526.png
Vinicius Junior,Real Madrid,DEL,155,12/07/2000,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/5565.png
Thibaut Courtois,Real Madrid,POR,48,11/05/1992,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/59.png
Éder Militão,Real Madrid,DEF,40,18/01/1998,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/6062.png
Rodrygo Goes,Real Madrid,DEL,62,09/01/2001,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/6631.png
Aurélien Tchouaméni,Real Madrid,MED,90,27/01/2000,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/9669.png
Jude Bellingham,Real Madrid,MED,150,29/06/2003,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/8386.png
Arda Güler,Real Madrid,MED,75,25/02/2005,https://media.futbolfantasy.com/thumb/400x400/v202607210851/uploads/images/jugadores/ficha/11439.png
Carlos Fernández,Real Sociedad,DEL,21,22/05/1996,https://media.futbolfantasy.com/thumb/400x400/v202607080544/uploads/images/jugadores/ficha/1042.png
Ander Barrenetxea,Real Sociedad,MED,43,27/12/2001,https://media.futbolfantasy.com/thumb/400x400/v202607060441/uploads/images/jugadores/ficha/6363.png
Mikel Oyarzabal,Real Sociedad,DEL,118,21/04/1997,https://media.futbolfantasy.com/thumb/400x400/v202607201518/uploads/images/jugadores/ficha/2675.png
Álvaro Odriozola,Real Sociedad,DEF,16,14/12/1995,https://media.futbolfantasy.com/thumb/400x400/v202607080544/uploads/images/jugadores/ficha/2807.png
Álex Remiro,Real Sociedad,POR,40,24/03/1995,https://media.futbolfantasy.com/thumb/400x400/v202607080544/uploads/images/jugadores/ficha/1975.png
Igor Zubeldia,Real Sociedad,DEF,23,30/03/1997,https://media.futbolfantasy.com/thumb/400x400/v202605081233/uploads/images/jugadores/ficha/2802.png
Jon Pacheco,Real Sociedad,DEF,22,08/01/2001,https://media.futbolfantasy.com/thumb/400x400/v202607131430/uploads/images/jugadores/ficha/7725.png
Robin Le Normand,Atlético,DEF,36,11/11/1996,https://media.futbolfantasy.com/thumb/400x400/v202607170354/uploads/images/jugadores/ficha/6002.png
Aihen Muñoz,Real Sociedad,DEF,17,16/08/1997,https://media.futbolfantasy.com/thumb/400x400/v202607221558/uploads/images/jugadores/ficha/6394.png
Javi Galán,Celta,DEF,29,19/11/1994,https://media.futbolfantasy.com/thumb/400x400/v202604301517/uploads/images/jugadores/ficha/6487.png
Takefusa Kubo,Real Sociedad,MED,62,04/06/2001,https://media.futbolfantasy.com/thumb/400x400/v202607232230/uploads/images/jugadores/ficha/7091.png
Urko González de Zarate,Espanyol,MED,28,20/03/2001,https://media.futbolfantasy.com/thumb/400x400/v202604170902/uploads/images/jugadores/ficha/8228.png
Beñat Turrientes,Real Sociedad,MED,24,31/01/2002,https://media.futbolfantasy.com/thumb/400x400/v202607061647/uploads/images/jugadores/ficha/8651.png
Umar Sadiq,Valencia,DEL,30,02/02/1997,https://media.futbolfantasy.com/thumb/400x400/v202607141031/uploads/images/jugadores/ficha/8294.png
Pablo Marín,Real Sociedad,MED,21,03/07/2003,https://media.futbolfantasy.com/thumb/400x400/v202607141502/uploads/images/jugadores/ficha/10830.png
Jon Ander Olasagasti,Levante,MED,26,16/08/2000,https://media.futbolfantasy.com/thumb/400x400/v202607161602/uploads/images/jugadores/ficha/8961.png
Unai Marrero,Real Sociedad,POR,18,09/10/2001,https://media.futbolfantasy.com/thumb/400x400/v202604300210/uploads/images/jugadores/ficha/8679.png
Arsen Zakharyan,Real Sociedad,MED,18,26/05/2003,https://media.futbolfantasy.com/thumb/400x400/v202604231935/uploads/images/jugadores/ficha/9011.png
Jon Aramburu,Real Sociedad,DEF,34,23/07/2002,https://media.futbolfantasy.com/thumb/400x400/v202607101513/uploads/images/jugadores/ficha/12538.png
Joan Jordan,Sevilla,MED,17,06/07/1994,https://media.futbolfantasy.com/thumb/400x400/v202607220955/uploads/images/jugadores/ficha/1887.png
Mariano Díaz,Alavés,DEL,16,01/08/1993,https://media.futbolfantasy.com/thumb/400x400/v202607091514/uploads/images/jugadores/ficha/3226.png
Marko Dmitrovic,Espanyol,POR,32,24/01/1992,https://media.futbolfantasy.com/thumb/400x400/v202602020148/uploads/images/jugadores/ficha/3759.png
Adrià Pedrosa,Sevilla,DEF,18,13/05/1998,https://media.futbolfantasy.com/thumb/400x400/v202607080552/uploads/images/jugadores/ficha/5587.png
Rafa Mir,Sevilla,DEL,27,18/06/1997,https://media.futbolfantasy.com/thumb/400x400/v202607181530/uploads/images/jugadores/ficha/2687.png
Juanlu Sánchez,Sevilla,DEF,25,15/08/2003,https://media.futbolfantasy.com/thumb/400x400/v202607181530/uploads/images/jugadores/ficha/7779.png
Marcão,Sevilla,DEF,17,05/06/1996,https://media.futbolfantasy.com/thumb/400x400/v202607251335/uploads/images/jugadores/ficha/4208.png
Kike Salas,Sevilla,DEF,37,23/04/2002,https://media.futbolfantasy.com/thumb/400x400/v202607061113/uploads/images/jugadores/ficha/9931.png
