Nombre,Equipo,Precio_Comunio,Precio_Num,Precio_Normalizado,Foto
Schick,Czech Republic,"6,83 M",6830000.0,21,https://st.clubcomunio.com/p/242086-1.jpg
Cucurella,Spain,"6,80 M",6800000.0,21,https://st.clubcomunio.com/p/284857-1.jpg
Joao Felix,Portugal,"6,79 M",6790000.0,21,https://st.clubcomunio.com/p/462250-3.jpg
Gvardiol,Croatia,"6,76 M",6760000.0,20,https://st.clubcomunio.com/p/475959-0.jpg
Sabitzer,Austria,"6,72 M",6720000.0,20,https://st.clubcomunio.com/p/106987-1.jpg
Pedro Neto,Portugal,"6,70 M",6700000.0,20,https://st.clubcomunio.com/p/487465-0.jpg
Barcola,France,"6,67 M",6670000.0,20,https://st.clubcomunio.com/p/708265-0.jpg
van de Ven,Netherlands,"6,54 M",6540000.0,20,https://st.clubcomunio.com/p/557459-0.jpg
Isak,Sweden,"6,53 M",6530000.0,20,https://st.clubcomunio.com/p/349066-2.jpg
Pulisic,USA,"6,53 M",6530000.0,20,https://st.clubcomunio.com/p/315779-2.jpg
Dumfries,Netherlands,"6,48 M",6480000.0,20,https://st.clubcomunio.com/p/321528-0.jpg
Orkun Kökçü,Turkey,"6,46 M",6460000.0,20,https://st.clubcomunio.com/p/454567-0.jpg
Guéhi,England,"6,44 M",6440000.0,20,https://st.clubcomunio.com/p/392757-0.jpg
Memphis,Netherlands,"6,42 M",6420000.0,20,https://st.clubcomunio.com/p/167850-1.jpg
Heung-min Son,South Korea,"6,42 M",6420000.0,20,https://st.clubcomunio.com/p/91845-2.jpg
Endrick,Brazil,"6,37 M",6370000.0,20,https://st.clubcomunio.com/p/971570.jpg
Reijnders,Netherlands,"6,37 M",6370000.0,20,https://st.clubcomunio.com/p/460939-0.jpg
Courtois,Belgium,"6,23 M",6230000.0,19,https://st.clubcomunio.com/p/108390-4.jpg
Malen,Netherlands,"6,16 M",6160000.0,19,https://st.clubcomunio.com/p/326029-0.jpg
Sane,Germany,"6,15 M",6150000.0,19,https://st.clubcomunio.com/p/192565-2.jpg
Raum,Germany,"6,12 M",6120000.0,19,https://st.clubcomunio.com/p/318204-0.jpg
Simeone,Argentina,"6,10 M",6100000.0,19,https://st.clubcomunio.com/p/742201-1.jpg
Pacho,Ecuador,"6,04 M",6040000.0,19,https://st.clubcomunio.com/p/661171-0.jpg
Undav,Germany,"6,04 M",6040000.0,19,https://st.clubcomunio.com/p/339314-0.jpg
M. Thuram,France,"6,03 M",6030000.0,19,https://st.clubcomunio.com/p/318528-1.jpg
Semenyo,Ghana,"6,02 M",6020000.0,19,https://st.clubcomunio.com/p/583255-0.jpg
Trossard,Belgium,"6,01 M",6010000.0,19,https://st.clubcomunio.com/p/144028-1.jpg
Gavi,Spain,"5,99 M",5990000.0,19,https://st.clubcomunio.com/p/580560-0.jpg
Kanté,France,"5,93 M",5930000.0,19,https://st.clubcomunio.com/p/225083-2.jpg
Budimir,Croatia,"5,90 M",5900000.0,19,https://st.clubcomunio.com/p/46413-2.jpg
Unai Simon,Spain,"5,90 M",5900000.0,19,https://st.clubcomunio.com/p/262396-2.jpg
Abde,Morocco,"5,88 M",5880000.0,19,https://st.clubcomunio.com/p/724520-1.jpg
M. Caicedo,Ecuador,"5,83 M",5830000.0,19,https://st.clubcomunio.com/p/687626-1.jpg
Eze,England,"5,77 M",5770000.0,18,https://st.clubcomunio.com/p/479999-0.jpg
Embolo,Switzerland,"5,73 M",5730000.0,18,https://st.clubcomunio.com/p/237662-1.jpg
Rüdiger,Germany,"5,71 M",5710000.0,18,https://st.clubcomunio.com/p/86202-1.jpg
Bono,Morocco,"5,70 M",5700000.0,18,https://st.clubcomunio.com/p/207834-3.jpg
Alisson,Brazil,"5,69 M",5690000.0,18,https://st.clubcomunio.com/p/105470-2.jpg
Amrabat,Morocco,"5,63 M",5630000.0,18,https://st.clubcomunio.com/p/287579-1.jpg
J. David,Canada,"5,61 M",5610000.0,18,https://st.clubcomunio.com/p/533738-0.jpg
Núñez,Uruguay,"5,61 M",5610000.0,18,https://st.clubcomunio.com/p/546543-4.jpg
Diogo Costa,Portugal,"5,58 M",5580000.0,18,https://st.clubcomunio.com/p/357153-0.jpg
Lisandro Martínez,Argentina,"5,56 M",5560000.0,18,https://st.clubcomunio.com/p/480762-2.jpg
Maxi Araujo,Uruguay,"5,56 M",5560000.0,18,https://st.clubcomunio.com/p/572675.jpg
Konaté,France,"5,51 M",5510000.0,18,https://st.clubcomunio.com/p/357119-0.jpg
Nmecha,Germany,"5,46 M",5460000.0,18,https://st.clubcomunio.com/p/406640-1.jpg
Pickford,England,"5,44 M",5440000.0,18,https://st.clubcomunio.com/p/130164-1.jpg
Vuskovic,Croatia,"5,41 M",5410000.0,18,https://st.clubcomunio.com/p/892160.jpg
Eric García,Spain,"5,39 M",5390000.0,18,https://st.clubcomunio.com/p/466794-1.jpg
Zubimendi,Spain,"5,39 M",5390000.0,18,https://st.clubcomunio.com/p/423440-2.jpg
Akanji,Switzerland,"5,33 M",5330000.0,18,https://st.clubcomunio.com/p/284730-2.jpg
Barış Alper,Turkey,"5,31 M",5310000.0,18,https://st.clubcomunio.com/p/541537-0.jpg
Kubo,Japan,"5,30 M",5300000.0,17,https://st.clubcomunio.com/p/405398-3.jpg
Stanisic,Croatia,"5,22 M",5220000.0,17,https://st.clubcomunio.com/p/483046-0.jpg
Pape Gueye,Senegal,"5,21 M",5210000.0,17,https://st.clubcomunio.com/p/485963-0.jpg
Stones,England,"5,14 M",5140000.0,17,https://st.clubcomunio.com/p/186590-2.jpg
Ferdi Kadıoğlu,Turkey,"5,14 M",5140000.0,17,https://st.clubcomunio.com/p/369316.jpg
Goretzka,Germany,"5,09 M",5090000.0,17,https://st.clubcomunio.com/p/153084-2.jpg
Dalot,Portugal,"5,07 M",5070000.0,17,https://st.clubcomunio.com/p/357147-3.jpg
Laimer,Austria,"5,06 M",5060000.0,17,https://st.clubcomunio.com/p/223967-1.jpg
De Ketelaere,Belgium,"4,99 M",4990000.0,17,https://st.clubcomunio.com/p/435772-0.jpg
Perisic,Croatia,"4,99 M",4990000.0,17,https://st.clubcomunio.com/p/42460-3.jpg
Lucas Paqueta,Brazil,"4,97 M",4970000.0,17,https://st.clubcomunio.com/p/444523-0.jpg
Rúben Neves,Portugal,"4,97 M",4970000.0,17,https://st.clubcomunio.com/p/225161-2.jpg
Nusa,Norway,"4,92 M",4920000.0,17,https://st.clubcomunio.com/p/894914-0.jpg
Kovacic,Croatia,"4,90 M",4900000.0,17,https://st.clubcomunio.com/p/51471-3.jpg
Cristian Romero,Argentina,"4,88 M",4880000.0,17,https://st.clubcomunio.com/p/355915-0.jpg
Otamendi,Argentina,"4,85 M",4850000.0,17,https://st.clubcomunio.com/p/54781-2.jpg
Berge,Norway,"4,83 M",4830000.0,17,https://st.clubcomunio.com/p/333014-0.jpg
G. Ramos,Portugal,"4,73 M",4730000.0,16,https://st.clubcomunio.com/p/550550-0.jpg
Kobel,Switzerland,"4,73 M",4730000.0,16,https://st.clubcomunio.com/p/257814-0.jpg
Ugarte,Uruguay,"4,72 M",4720000.0,16,https://st.clubcomunio.com/p/476701-0.jpg
Mazraoui,Morocco,"4,71 M",4710000.0,16,https://st.clubcomunio.com/p/340456-3.jpg
Mahrez,Algeria,"4,64 M",4640000.0,16,https://st.clubcomunio.com/p/171424-3.jpg
Tagliafico,Argentina,"4,59 M",4590000.0,16,https://st.clubcomunio.com/p/131225-2.jpg
Onana,Belgium,"4,58 M",4580000.0,16,https://st.clubcomunio.com/p/485706-1.jpg
I. Williams,Ghana,"4,58 M",4580000.0,16,https://st.clubcomunio.com/p/255508-2.jpg
I. Sarr,Senegal,"4,58 M",4580000.0,16,https://st.clubcomunio.com/p/410225-2.jpg
Rogers,England,"4,55 M",4550000.0,16,https://st.clubcomunio.com/p/503743.jpg
Neymar,Brazil,"4,49 M",4490000.0,16,https://st.clubcomunio.com/p/68290-3.jpg
El Khannouss,Morocco,"4,48 M",4480000.0,16,https://st.clubcomunio.com/p/654982.jpg
Pépé,Ivory Coast,"4,47 M",4470000.0,16,https://st.clubcomunio.com/p/343052-3.jpg
Ronald Araujo,Uruguay,"4,45 M",4450000.0,16,https://st.clubcomunio.com/p/480267-3.jpg
O'Reilly,England,"4,43 M",4430000.0,16,https://st.clubcomunio.com/p/743413.jpg
Min-jae Kim,South Korea,"4,42 M",4420000.0,16,https://st.clubcomunio.com/p/503482-0.jpg
McTominay,Scotland,"4,39 M",4390000.0,16,https://st.clubcomunio.com/p/315969-2.jpg
R. James,England,"4,37 M",4370000.0,16,https://st.clubcomunio.com/p/472423-1.jpg
Dzeko,Bosnia-Herzegovina,"4,31 M",4310000.0,15,https://st.clubcomunio.com/p/28396-1.jpg
Saibari,Morocco,"4,22 M",4220000.0,15,https://st.clubcomunio.com/p/702869-0.jpg
Ryerson,Norway,"4,21 M",4210000.0,15,https://st.clubcomunio.com/p/370789-1.jpg
Arnautovic,Austria,"4,17 M",4170000.0,15,https://st.clubcomunio.com/p/41384-1.jpg
Mainoo,England,"4,17 M",4170000.0,15,https://st.clubcomunio.com/p/820374-0.jpg
E. Anderson,England,"4,15 M",4150000.0000000005,15,https://st.clubcomunio.com/p/567576-0.jpg
Doan,Japan,"4,15 M",4150000.0000000005,15,https://st.clubcomunio.com/p/358504-0.jpg
Grimaldo,Spain,"4,13 M",4130000.0,15,https://st.clubcomunio.com/p/193082-1.jpg
Olivera,Uruguay,"4,13 M",4130000.0,15,https://st.clubcomunio.com/p/376514-1.jpg
Vargas,Switzerland,"4,07 M",4070000.0000000005,15,https://st.clubcomunio.com/p/345886-0.jpg
Verbruggen,Netherlands,"4,03 M",4030000.0000000005,15,https://st.clubcomunio.com/p/565093-0.jpg
Koopmeiners,Netherlands,"4,03 M",4030000.0000000005,15,https://st.clubcomunio.com/p/360518-0.jpg
Demirovic,Bosnia-Herzegovina,"3,99 M",3990000.0,15,https://st.clubcomunio.com/p/335457-0.jpg
Kang-in Lee,South Korea,"3,99 M",3990000.0,15,https://st.clubcomunio.com/p/557149-2.jpg
Davinson Sánchez,Colombia,"3,98 M",3980000.0,15,https://st.clubcomunio.com/p/341429-1.jpg
E. Valencia,Ecuador,"3,98 M",3980000.0,15,https://st.clubcomunio.com/p/139503-1.jpg
Nahuel Molina,Argentina,"3,95 M",3950000.0,15,https://st.clubcomunio.com/p/424042-0.jpg
Hincapie,Ecuador,"3,94 M",3940000.0,15,https://st.clubcomunio.com/p/659813-0.jpg
Ounahi,Morocco,"3,92 M",3920000.0,15,https://st.clubcomunio.com/p/593482-0.jpg
El Kaabi,Morocco,"3,91 M",3910000.0,15,https://st.clubcomunio.com/p/521127-0.jpg
Inácio,Portugal,"3,91 M",3910000.0,15,https://st.clubcomunio.com/p/549006-0.jpg
Robertson,Scotland,"3,89 M",3890000.0,15,https://st.clubcomunio.com/p/234803-2.jpg
D. Muñoz,Colombia,"3,86 M",3860000.0,15,https://st.clubcomunio.com/p/493003.jpg
Elvedi,Switzerland,"3,82 M",3820000.0,14,https://st.clubcomunio.com/p/192635-0.jpg
Zaïre-Emery,France,"3,81 M",3810000.0,14,https://st.clubcomunio.com/p/810092-0.jpg
Ndoye,Switzerland,"3,81 M",3810000.0,14,https://st.clubcomunio.com/p/365108-0.jpg
Jhon Arias,Colombia,"3,80 M",3800000.0,14,https://st.clubcomunio.com/p/588989.jpg
Buchanan,Canada,"3,79 M",3790000.0,14,https://st.clubcomunio.com/p/638793-0.jpg
Raúl Jiménez,Mexico,"3,78 M",3780000.0,14,https://st.clubcomunio.com/p/206040-3.jpg
Kerem Aktürkoğlu,Turkey,"3,78 M",3780000.0,14,https://st.clubcomunio.com/p/382528-0.jpg
Uğurcan Çakır,Turkey,"3,73 M",3730000.0,14,https://st.clubcomunio.com/p/292199-0.jpg
McKennie,USA,"3,73 M",3730000.0,14,https://st.clubcomunio.com/p/332697-1.jpg
Soucek,Czech Republic,"3,72 M",3720000.0,14,https://st.clubcomunio.com/p/283628-1.jpg
X. Schlager,Austria,"3,71 M",3710000.0,14,https://st.clubcomunio.com/p/223979-0.jpg
P. Sucic,Croatia,"3,68 M",3680000.0,14,https://st.clubcomunio.com/p/668207.jpg
Livakovic,Croatia,"3,67 M",3670000.0,14,https://st.clubcomunio.com/p/205927-1.jpg
Kamada,Japan,"3,66 M",3660000.0,14,https://st.clubcomunio.com/p/356141-0.jpg
Idrissa Gueye,Senegal,"3,66 M",3660000.0,14,https://st.clubcomunio.com/p/126665-1.jpg
Dest,USA,"3,66 M",3660000.0,14,https://st.clubcomunio.com/p/361104-1.jpg
De Cuyper,Belgium,"3,64 M",3640000.0,14,https://st.clubcomunio.com/p/429915.jpg
M. Koné,France,"3,64 M",3640000.0,14,https://st.clubcomunio.com/p/624690-0.jpg
Vásquez,Mexico,"3,64 M",3640000.0,14,https://st.clubcomunio.com/p/532937-0.jpg
M. Tillman,USA,"3,63 M",3630000.0,14,https://st.clubcomunio.com/p/467437-1.jpg
Pedro Porro,Spain,"3,62 M",3620000.0,14,https://st.clubcomunio.com/p/553875-1.jpg
Palacios,Argentina,"3,59 M",3590000.0,14,https://st.clubcomunio.com/p/993645.jpg
Merih Demiral,Turkey,"3,54 M",3540000.0,14,https://st.clubcomunio.com/p/340879-1.jpg
Mario Pasalic,Croatia,"3,47 M",3470000.0,14,https://st.clubcomunio.com/p/205938-2.jpg
A. Diallo,Ivory Coast,"3,47 M",3470000.0,14,https://st.clubcomunio.com/p/536835-0.jpg
Ake,Netherlands,"3,45 M",3450000.0,14,https://st.clubcomunio.com/p/177476-2.jpg
Ueda,Japan,"3,44 M",3440000.0,14,https://st.clubcomunio.com/p/589128-1.jpg
Gregoritsch,Austria,"3,43 M",3430000.0,14,https://st.clubcomunio.com/p/120205-2.jpg
İsmail Yüksek,Turkey,"3,42 M",3420000.0,14,https://st.clubcomunio.com/p/613725.jpg
Ríos,Colombia,"3,37 M",3370000.0,14,https://st.clubcomunio.com/p/735573.jpg
Kessié,Ivory Coast,"3,32 M",3320000.0,13,https://st.clubcomunio.com/p/294808-1.jpg
Itakura,Japan,"3,29 M",3290000.0,13,https://st.clubcomunio.com/p/355816-0.jpg
Alaba,Austria,"3,28 M",3280000.0,13,https://st.clubcomunio.com/p/59016-2.jpg
Kovar,Czech Republic,"3,28 M",3280000.0,13,https://st.clubcomunio.com/p/550829-0.jpg
Leandro Paredes,Argentina,"3,26 M",3260000.0,13,https://st.clubcomunio.com/p/166237-4.jpg
Abdülkerim Bardakçı,Turkey,"3,25 M",3250000.0,13,https://st.clubcomunio.com/p/199316-0.jpg
Can Uzun,Turkey,"3,25 M",3250000.0,13,https://st.clubcomunio.com/p/816585.jpg
Elanga,Sweden,"3,23 M",3230000.0,13,https://st.clubcomunio.com/p/583189-0.jpg
Yunus Akgün,Turkey,"3,22 M",3220000.0,13,https://st.clubcomunio.com/p/396908-0.jpg
Konsa,England,"3,20 M",3200000.0,13,https://st.clubcomunio.com/p/413403-0.jpg
N. Jackson,Senegal,"3,20 M",3200000.0,13,https://st.clubcomunio.com/p/776890-1.jpg
Thomas Partey,Ghana,"3,18 M",3180000.0,13,https://st.clubcomunio.com/p/230784-2.jpg
Rieder,Switzerland,"3,18 M",3180000.0,13,https://st.clubcomunio.com/p/507341-0.jpg
Balogun,USA,"3,16 M",3160000.0,13,https://st.clubcomunio.com/p/503770-0.jpg
De Arrascaeta,Uruguay,"3,12 M",3120000.0,13,https://st.clubcomunio.com/p/248410-0.jpg
Aguerd,Morocco,"3,07 M",3070000.0,13,https://st.clubcomunio.com/p/361914-1.jpg
Martinelli,Brazil,"3,03 M",3030000.0,13,https://st.clubcomunio.com/p/655488-1.jpg
T. Adams,USA,"3,03 M",3030000.0,13,https://st.clubcomunio.com/p/332705-0.jpg
Lerma,Colombia,"2,97 M",2970000.0,13,https://st.clubcomunio.com/p/262980-2.jpg
Castagne,Belgium,"2,92 M",2920000.0,13,https://st.clubcomunio.com/p/262226-0.jpg
Sutalo,Croatia,"2,92 M",2920000.0,13,https://st.clubcomunio.com/p/371001-0.jpg
I. Ndiaye,Senegal,"2,92 M",2920000.0,13,https://st.clubcomunio.com/p/623570-0.jpg
Aït-Nouri,Algeria,"2,91 M",2910000.0,13,https://st.clubcomunio.com/p/578391-3.jpg
Seiwald,Austria,"2,91 M",2910000.0,13,https://st.clubcomunio.com/p/404950-0.jpg
Ndicka,Ivory Coast,"2,91 M",2910000.0,13,https://st.clubcomunio.com/p/371149-0.jpg
Freuler,Switzerland,"2,91 M",2910000.0,13,https://st.clubcomunio.com/p/148252-1.jpg
Taremi,Iran,"2,90 M",2900000.0,13,https://st.clubcomunio.com/p/307058-0.jpg
Tanaka,Japan,"2,90 M",2900000.0,13,https://st.clubcomunio.com/p/489359-0.jpg
Saelemaekers,Belgium,"2,88 M",2880000.0,13,https://st.clubcomunio.com/p/381950-0.jpg
Giménez,Uruguay,"2,88 M",2880000.0,13,https://st.clubcomunio.com/p/250845-4.jpg
Østigård,Norway,"2,84 M",2840000.0,12,https://st.clubcomunio.com/p/367284-0.jpg
Nakamura,Japan,"2,82 M",2820000.0,12,https://st.clubcomunio.com/p/405397-0.jpg
Álex Baena,Spain,"2,81 M",2810000.0,12,https://st.clubcomunio.com/p/548111-1.jpg
Stiller,Germany,"2,79 M",2790000.0,12,https://st.clubcomunio.com/p/443710-0.jpg
McGinn,Scotland,"2,79 M",2790000.0,12,https://st.clubcomunio.com/p/193116-2.jpg
Skhiri,Tunisia,"2,78 M",2780000.0,12,https://st.clubcomunio.com/p/290587-2.jpg
Meunier,Belgium,"2,76 M",2760000.0,12,https://st.clubcomunio.com/p/100986-1.jpg
Lukebakio,Belgium,"2,76 M",2760000.0,12,https://st.clubcomunio.com/p/303259-2.jpg
Lienhart,Austria,"2,73 M",2730000.0,12,https://st.clubcomunio.com/p/225657-0.jpg
Conceiçao,Portugal,"2,71 M",2710000.0,12,https://st.clubcomunio.com/p/487474-0.jpg
Davies,Canada,"2,70 M",2700000.0,12,https://st.clubcomunio.com/p/424204-1.jpg
Ferguson,Scotland,"2,70 M",2700000.0,12,https://st.clubcomunio.com/p/428563-0.jpg
Manzambi,Switzerland,"2,70 M",2700000.0,12,https://st.clubcomunio.com/p/927353.jpg
Theate,Belgium,"2,69 M",2690000.0,12,https://st.clubcomunio.com/p/368891-0.jpg
Schmid,Austria,"2,68 M",2680000.0,12,https://st.clubcomunio.com/p/346853-0.jpg
H. Ito,Japan,"2,68 M",2680000.0,12,https://st.clubcomunio.com/p/353892-0.jpg
